ID,Asset Name,Location,Last Maintenance,Department,Status,Next Maintenance
A001,Dell Laptop,RI Office,2026-06-20,IT,Active,2026-08-15
A002,Barcode Scanner,Warehouse,2026-05-10,Operations,Active,2026-07-01
A003,Printer,Finance,2026-04-15,Finance,Maintenance,2026-06-30
A004,HP EliteBook,HR Office,2026-06-18,HR,Active,2026-08-18
A005,Lenovo ThinkPad,IT Office,2026-06-12,IT,Active,2026-08-12
A006,Projector,Conference Room A,2026-05-28,Administration,Active,2026-07-28
A007,Cisco Router,Server Room,2026-06-05,IT,Active,2026-09-05
A008,Network Switch,Server Room,2026-05-22,IT,Maintenance,2026-07-22
A009,Desktop PC,Accounting,2026-06-08,Finance,Active,2026-08-08
A010,iPad,Sales Office,2026-05-30,Sales,Active,2026-07-30
A011,Surface Pro,Executive Office,2026-06-14,Management,Active,2026-08-14
A012,Reception PC,Front Desk,2026-05-25,Administration,Active,2026-07-25
A013,Label Printer,Warehouse,2026-06-01,Operations,Maintenance,2026-08-01
A014,Forklift,Warehouse,2026-04-20,Operations,Active,2026-07-20
A015,Security Camera,Main Entrance,2026-06-10,Security,Active,2026-09-10
A016,Time Clock,Employee Entrance,2026-05-18,HR,Active,2026-08-18
A017,Access Point,Floor 2,2026-06-03,IT,Active,2026-09-03
A018,VoIP Phone,Customer Support,2026-06-11,Support,Active,2026-08-11
A019,External Hard Drive,IT Storage,2026-05-14,IT,Active,2026-07-14
A020,NAS Storage,Server Room,2026-05-16,IT,Maintenance,2026-08-16
A021,UPS Battery,Server Room,2026-04-25,IT,Active,2026-07-25
A022,Air Conditioner,Server Room,2026-05-12,Facilities,Maintenance,2026-06-26
A023,Microwave,Break Room,2026-06-09,Facilities,Active,2026-09-09
A024,Coffee Machine,Break Room,2026-06-07,Facilities,Active,2026-08-07
A025,Smart TV,Conference Room B,2026-05-27,Administration,Active,2026-08-27
A026,Webcam,Marketing,2026-06-02,Marketing,Active,2026-08-02
A027,Wireless Mouse,Design Office,2026-05-21,Design,Active,2026-07-21
A028,Mechanical Keyboard,Design Office,2026-06-06,Design,Active,2026-08-06
A029,Graphics Workstation,Design Office,2026-05-17,Design,Maintenance,2026-07-17
A030,Plotter Printer,Engineering,2026-04-30,Engineering,Active,2026-07-30
A031,Oscilloscope,Engineering Lab,2026-05-19,Engineering,Active,2026-08-19
A032,3D Printer,Engineering Lab,2026-06-13,Engineering,Active,2026-09-13
A033,Laser Cutter,Engineering Lab,2026-05-23,Engineering,Maintenance,2026-07-23
A034,Tablet,Field Office,2026-06-15,Field Services,Active,2026-08-15
A035,GPS Device,Field Office,2026-05-24,Field Services,Active,2026-07-24
A036,Drone,Field Office,2026-05-11,Surveying,Maintenance,2026-08-11
A037,Scanner,Records Room,2026-06-04,Administration,Active,2026-08-04
A038,Document Shredder,Records Room,2026-05-26,Administration,Active,2026-07-26
A039,Cash Register,Retail Store,2026-06-16,Retail,Active,2026-08-16
A040,POS Terminal,Retail Store,2026-06-17,Retail,Active,2026-08-17
A041,Receipt Printer,Retail Store,2026-05-29,Retail,Maintenance,2026-07-29
A042,Card Reader,Retail Store,2026-06-19,Retail,Active,2026-08-19
